23-24E  -39.45 -30.87  -3960   10.5   3.0   Leyden_etal_71 
   26W  -41.52 -28.60  -3806    9.2   2.0   Leyden_etal_71 
   26E  -41.07 -28.92  -3806   10.9   2.0   Leyden_etal_71 
   28W  -43.45 -27.17  -2670   15.0   2.0   Leyden_etal_71 
   28E  -43.07 -27.53  -2670   14.8   2.0   Leyden_etal_71 
COL1  -76.2   +1.7   1900  66.2 5.0   Narino-I (Ocola_etal_1975)
COL2  -75.7   +2.6   1200  66.2 5.0   Narino-I (Ocola_etal_1975)
COL3  -75.2   +3.4    600  66.2 10.   Narino-I (Ocola_etal_1975)
ECU1  -78.4   -0.4   3300  66.2 10.   Narino-I (Ocola_etal_1975)

KK18  -81.16  +3.97  -1500  31  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK17  -80.76   3.92  -2100  29  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK16  -80.40   3.87  -2300  27  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK15  -80.07   3.85  -2200  27  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK14  -79.68   3.80  -3300 17.5 5    Malpelo-Buenaventura (Meyer et al., 1976)
KK13  -79.23   3.78  -3300  14  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK12  -78.86   3.76  -3800  13  5    Malpelo-Buenaventura (Meyer et al., 1976)
KK11  -78.48   3.77  -2900  11  3    Malpelo-Buenaventura (Meyer et al., 1976)
KK10  -78.09   3.74  -1800  22  3    Malpelo-Buenaventura (Meyer et al., 1976)
KK09  -77.69   3.77   -500  19  3    Malpelo-Buenaventura (Meyer et al., 1976) cont.Moho
G406  -77.40   3.70   -100  23  3    Malpelo-Buenaventura (Meyer et al., 1976) cont.Moho
G402  -77.34   3.68    -80  24  3    Malpelo-Buenaventura (Meyer et al., 1976) cont.Moho
STA55 -76.65   3.80   +900  32  3    Malpelo-Buenaventura grav.-extrapol. (Meyer et al., 1976) 
STA3  -76.40  +3.74   1000  35  5    Malpelo-Buenaventura grav.-extrapol. (Meyer et al., 1976)

KK18  -81.16  +3.97  -1500  17.7  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK17  -80.76   3.92  -2100  17.7  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK16  -80.40   3.87  -2300  17.8  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK15  -80.07   3.85  -2200  17.0  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK14  -79.68   3.80  -3300  15.6  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK13  -79.23   3.78  -3300  15.0  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK12  -78.86   3.76  -3800  16.0  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK11  -78.48   3.77  -2900  20.0  3    Malpelo-Buenaventura (Meissner et al., 1976)
KK10  -78.09   3.74  -1800  25.0  3    Malpelo-Buenaventura (Meissner et al., 1976)

KK2   -81.06  +3.56  -2200  16.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK3   -80.76   3.34  -2800  17.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK4   -80.44   3.06  -2500  17.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK5   -80.07   2.78  -2100  15.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK6   -79.70   2.50  -3400  17.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK7   -79.36   2.27   -500  22.  3    Malpelo-Tumaco (Meissner et al., 1976)
KK8   -79.08   2.08   -500  28.  3    Malpelo-Tumaco (Meissner et al., 1976)

yumbo -76.30  +04.10   614  29.  3.3  Mooney_etal_BSSA1979 PmP only, 1D Yumbo-North

SMat	 -64.61  9.70  200  34.7  5  Schmitz_etal_2005
Cntr	 -64.35  9.33  200  34.6  2  Schmitz_etal_2005
ElTg	 -64.19  8.94  200  36.8  2  Schmitz_etal_2005
Limo	 -63.87  8.19  100  38.0  3  Schmitz_etal_2005
CPiar1  -63.60 +7.80  270  37.8  2  Schmitz_etal_2005
CPiar2  -63.40 +7.20  450  43.3  3  Schmitz_etal_2005
Por1  -50.2557  -13.3071  340  42.0  5  Soares_etal_JGR06
Por2  -49.7129  -13.2655  280  43.4  2  Soares_etal_JGR06
Por3A -49.29    -13.33    380  36.3  2  Soares_etal_JGR06
Por4  -48.8741  -13.3909  350  37.3  2  Soares_etal_JGR06
Por5  -48.5778  -13.5469  560  37.8  2  Soares_etal_JGR06
Por6A -48.35    -13.50    430  38.5  2  Soares_etal_JGR06
Por6B -48.09    -13.53    370  44.5  2  Soares_etal_JGR06
Por7  -47.7949  -13.6329  850  44.3  2  Soares_etal_JGR06
Cvc3  -47.3753  -13.8003  950  41.8  2  Soares_etal_JGR06
Cvc4  -46.8773  -13.8073  750  40.4  2  Soares_etal_JGR06
Cvc5  -46.3347  -13.9586  650  42.0  2  Soares_etal_JGR06
Cvc6  -45.9746  -14.2662  850  42.3  2  Soares_etal_JGR06
Cvc7  -45.6567  -14.6486  880  42.6  5  Soares_etal_JGR06
CT1      -39.950  -9.330  396  43.2   7.99  Pedreschi_89(TG-IAG,Sobradinho)
CT2      -40.030  -8.820  334  43.2   7.99  Pedreschi_89(TG-IAG,Sobradinho) 
CT3      -40.120  -8.270  400  43.2   7.99  Pedreschi_89(TG-IAG,Sobradinho)
